Script_Id,Script_Title,Movie_Release_Date,Script_Date,Raw_Script_URL,Raw_Script_Loc,rt_id,rt_title,rt_year,rt_critics_score,rt_audience_score
307,Despicable Me 2,13-Jul,,http://www.imsdb.com//scripts/Despicable-Me-2.html,raw_Script/Despicable Me 2.txt,771245727.0,Despicable Me 2,2013.0,75.0,85.0
308,Detroit Rock City,Aug-99,,http://www.imsdb.com//scripts/Detroit-Rock-City.html,raw_Script/Detroit Rock City.txt,13740.0,Detroit Rock City,1999.0,47.0,83.0
309,Devil in a Blue Dress,Sep-95,Mar-94,http://www.imsdb.com//scripts/Devil-in-a-Blue-Dress.html,raw_Script/Devil in a Blue Dress.txt,13753.0,Devil in a Blue Dress,1995.0,87.0,69.0
310,Devil's Advocate,Oct-97,Jan-97,http://www.imsdb.com//scripts/Devil's-Advocate.html,raw_Script/Devil's Advocate.txt,22536.0,The Devil's Advocate,1997.0,66.0,80.0
311,Die Hard,,,http://www.imsdb.com//scripts/Die-Hard.html,raw_Script/Die Hard.txt,16351.0,Die Hard,1988.0,92.0,94.0
312,Die Hard 2,Jul-90,Nov-89,http://www.imsdb.com//scripts/Die-Hard-2.html,raw_Script/Die Hard 2.txt,16789.0,Die Hard 2,1990.0,66.0,70.0
313,Diner,Mar-82,,http://www.imsdb.com//scripts/Diner.html,raw_Script/Diner.txt,13575.0,Diner,1982.0,96.0,78.0
314,"Distinguished Gentleman, The",,Dec-00,"http://www.imsdb.com//scripts/Distinguished-Gentleman,-The.html","raw_Script/Distinguished Gentleman, The.txt",13928.0,The Distinguished Gentleman,1992.0,13.0,37.0
315,Disturbia,7-Apr,6-Mar,http://www.imsdb.com//scripts/Disturbia.html,raw_Script/Disturbia.txt,554237964.0,Disturbia,2007.0,68.0,78.0
316,Django Unchained,12-Dec,,http://www.imsdb.com//scripts/Django-Unchained.html,raw_Script/Django Unchained.txt,771245718.0,Django Unchained,2012.0,88.0,92.0
317,Do The Right Thing,,Mar-88,http://www.imsdb.com//scripts/Do-The-Right-Thing.html,raw_Script/Do The Right Thing.txt,13900.0,Do the Right Thing,1989.0,96.0,90.0
319,Dogma,,1999,http://www.imsdb.com//scripts/Dogma.html,raw_Script/Dogma.txt,13107.0,Dogma,1999.0,67.0,86.0
320,Donnie Brasco,,Jul-92,http://www.imsdb.com//scripts/Donnie-Brasco.html,raw_Script/Donnie Brasco.txt,16820.0,Donnie Brasco,1997.0,87.0,89.0
322,"Doors, The",Mar-91,,"http://www.imsdb.com//scripts/Doors,-The.html","raw_Script/Doors, The.txt",16699.0,The Doors,1991.0,59.0,80.0
323,Double Indemnity,Sep-44,,http://www.imsdb.com//scripts/Double-Indemnity.html,raw_Script/Double Indemnity.txt,17019.0,Double Indemnity,1944.0,96.0,95.0
324,Drag Me to Hell,9-May,7-Sep,http://www.imsdb.com//scripts/Drag-Me-to-Hell.html,raw_Script/Drag Me to Hell.txt,770785298.0,Drag Me to Hell,2009.0,92.0,62.0
325,Dragonslayer,,1981,http://www.imsdb.com//scripts/Dragonslayer.html,raw_Script/Dragonslayer.txt,10449.0,Dragonslayer,1981.0,85.0,62.0
326,Drive,11-Sep,10-Sep,http://www.imsdb.com//scripts/Drive.html,raw_Script/Drive.txt,771224338.0,Drive,2011.0,93.0,78.0
327,Drive Angry,11-Feb,9-Mar,http://www.imsdb.com//scripts/Drive-Angry.html,raw_Script/Drive Angry.txt,770858012.0,Drive Angry,2011.0,45.0,37.0
329,"Dry White Season, A",,May-87,"http://www.imsdb.com//scripts/Dry-White-Season,-A.html","raw_Script/Dry White Season, A.txt",13168.0,A Dry White Season,1989.0,86.0,76.0
331,Dumb and Dumber,,Nov-93,http://www.imsdb.com//scripts/Dumb-and-Dumber.html,raw_Script/Dumb and Dumber.txt,10194.0,Dumb and Dumber,1997.0,64.0,84.0
332,Dune,,Dec-83,http://www.imsdb.com//scripts/Dune.html,raw_Script/Dune.txt,10851.0,Dune,1984.0,55.0,68.0
333,E.T.,,1982,http://www.imsdb.com//scripts/E.T..html,raw_Script/E.T..txt,10489.0,E.T. The Extra-Terrestrial,1982.0,98.0,71.0
334,Eagle Eye,8-Sep,7-Mar,http://www.imsdb.com//scripts/Eagle-Eye.html,raw_Script/Eagle Eye.txt,770675744.0,Eagle Eye,2008.0,26.0,62.0
335,Eastern Promises,7-Sep,,http://www.imsdb.com//scripts/Eastern-Promises.html,raw_Script/Eastern Promises.txt,770671901.0,Eastern Promises,2007.0,89.0,83.0
336,Easy A,10-Sep,8-Aug,http://www.imsdb.com//scripts/Easy-A.html,raw_Script/Easy A.txt,770813310.0,Easy A,2010.0,85.0,77.0
339,Edward Scissorhands,,Sep-90,http://www.imsdb.com//scripts/Edward-Scissorhands.html,raw_Script/Edward Scissorhands.txt,10019.0,Edward Scissorhands,1990.0,91.0,91.0
340,Eight Legged Freaks,,Jul-00,http://www.imsdb.com//scripts/Eight-Legged-Freaks.html,raw_Script/Eight Legged Freaks.txt,12821.0,Eight Legged Freaks,2002.0,48.0,32.0
343,"Elephant Man, The",Oct-80,,"http://www.imsdb.com//scripts/Elephant-Man,-The.html","raw_Script/Elephant Man, The.txt",10377.0,The Elephant Man,1980.0,91.0,93.0
344,Elizabeth  The Golden Age,7-Oct,6-Jul,http://www.imsdb.com//scripts/Elizabeth-The-Golden-Age.html,raw_Script/Elizabeth  The Golden Age.txt,770669564.0,Elizabeth: The Golden Age,2007.0,35.0,59.0
347,Enough,2-May,,http://www.imsdb.com//scripts/Enough.html,raw_Script/Enough.txt,10813.0,Enough,2002.0,22.0,68.0
352,Escape From L.A.,,1996,http://www.imsdb.com//scripts/Escape-From-L.A..html,raw_Script/Escape From L.A..txt,14018.0,Escape from L.A.,1996.0,53.0,40.0
353,Escape From New York,,1981,http://www.imsdb.com//scripts/Escape-From-New-York.html,raw_Script/Escape From New York.txt,14097.0,Escape from New York,1981.0,83.0,77.0
355,Even Cowgirls Get the Blues,May-94,,http://www.imsdb.com//scripts/Even-Cowgirls-Get-the-Blues.html,raw_Script/Even Cowgirls Get the Blues.txt,14680.0,Even Cowgirls Get the Blues,1994.0,22.0,28.0
356,Event Horizon,Aug-97,,http://www.imsdb.com//scripts/Event-Horizon.html,raw_Script/Event Horizon.txt,13353.0,Event Horizon,1997.0,24.0,63.0
359,Excalibur,Apr-81,,http://www.imsdb.com//scripts/Excalibur.html,raw_Script/Excalibur.txt,13073.0,Excalibur,1981.0,82.0,81.0
361,eXistenZ,Apr-99,Oct-96,http://www.imsdb.com//scripts/eXistenZ.html,raw_Script/eXistenZ.txt,13224.0,eXistenZ,1999.0,71.0,70.0
362,Extract,9-Sep,8-Mar,http://www.imsdb.com//scripts/Extract.html,raw_Script/Extract.txt,770791072.0,Extract,2009.0,63.0,38.0
365,Face Off,Jun-97,Sep-96,http://www.imsdb.com//scripts/Face-Off.html,raw_Script/Face Off.txt,13172.0,Face/Off,1997.0,91.0,83.0
366,Fair Game,10-Nov,,http://www.imsdb.com//scripts/Fair-Game.html,raw_Script/Fair Game.txt,770809925.0,Fair Game,2010.0,79.0,66.0
368,Fantastic Four,5-Jul,,http://www.imsdb.com//scripts/Fantastic-Four.html,raw_Script/Fantastic Four.txt,1790.0,Fantastic Four,2005.0,27.0,46.0
369,Fantastic Mr Fox,9-Nov,7-Mar,http://www.imsdb.com//scripts/Fantastic-Mr-Fox.html,raw_Script/Fantastic Mr Fox.txt,770685760.0,Fantastic Mr. Fox,2009.0,93.0,84.0
372,Fatal Instinct,,1993,http://www.imsdb.com//scripts/Fatal-Instinct.html,raw_Script/Fatal Instinct.txt,12162.0,Fatal Instinct,1993.0,19.0,42.0
374,Feast,6-Sep,4-May,http://www.imsdb.com//scripts/Feast.html,raw_Script/Feast.txt,287865377.0,Feast,2006.0,56.0,60.0
376,Field of Dreams,Apr-89,Mar-88,http://www.imsdb.com//scripts/Field-of-Dreams.html,raw_Script/Field of Dreams.txt,11618.0,Field of Dreams,1989.0,87.0,87.0
